Ann ee,situation,Genre,Secteur disciplinaire,Part des diplôm es boursiers dans la discipline
2018,18 mois après le diplôme,femmes et hommes,Ensemble Masters LMD (hors Masters enseignement),31
2014,30 mois après le diplôme,femmes et hommes,Ensemble Masters LMD (hors Masters enseignement),30
2014,18 mois après le diplôme,hommes,Ensemble Masters LMD (hors Masters enseignement),28
2015,18 mois après le diplôme,femmes,Ensemble Masters LMD (hors Masters enseignement),31
2015,18 mois après le diplôme,hommes,Ensemble Masters LMD (hors Masters enseignement),28
2017,30 mois après le diplôme,hommes,Ensemble Masters LMD (hors Masters enseignement),29
2018,30 mois après le diplôme,hommes,Ensemble Masters LMD (hors Masters enseignement),29
2015,30 mois après le diplôme,femmes,Ensemble Masters LMD (hors Masters enseignement),31
2017,30 mois après le diplôme,femmes et hommes,Ensemble Masters LMD (hors Masters enseignement),32
2017,18 mois après le diplôme,femmes,Ensemble Masters LMD (hors Masters enseignement),33
2014,18 mois après le diplôme,femmes et hommes,Ensemble formations juridiques   economiques et de gestion,25
2014,18 mois après le diplôme,femmes,Ensemble formations juridiques   economiques et de gestion,26
2018,30 mois après le diplôme,femmes,Ensemble formations juridiques   economiques et de gestion,26
2017,30 mois après le diplôme,femmes,Ensemble formations juridiques   economiques et de gestion,27
2015,30 mois après le diplôme,femmes et hommes,Ensemble formations juridiques   economiques et de gestion,25
2014,30 mois après le diplôme,femmes,Sciences juridiques,29
2014,30 mois après le diplôme,femmes et hommes,Sciences juridiques,27
2014,30 mois après le diplôme,hommes,Sciences juridiques,25
2018,18 mois après le diplôme,femmes et hommes,Sciences juridiques,30
2016,18 mois après le diplôme,femmes et hommes,Sciences juridiques,28
2012,18 mois après le diplôme,femmes et hommes,Sciences juridiques,27
2015,30 mois après le diplôme,hommes,Sciences juridiques,24
2013,18 mois après le diplôme,femmes et hommes,Sciences juridiques,27
2014,30 mois après le diplôme,femmes et hommes,Sciences politiques,26
2018,18 mois après le diplôme,femmes et hommes,Sciences politiques,32
2014,18 mois après le diplôme,femmes,Sciences politiques,27
2014,18 mois après le diplôme,hommes,Sciences politiques,26
2015,18 mois après le diplôme,hommes,Sciences politiques,32
2017,30 mois après le diplôme,femmes,Sciences politiques,36
2012,18 mois après le diplôme,femmes et hommes,Sciences politiques,24
2011,30 mois après le diplôme,femmes et hommes,Sciences politiques,29
2017,18 mois après le diplôme,femmes,Sciences politiques,36
2014,18 mois après le diplôme,femmes,Sciences  economiques,31
2014,30 mois après le diplôme,hommes,Sciences  economiques,29
2014,18 mois après le diplôme,femmes et hommes,Sciences  economiques,30
2016,18 mois après le diplôme,femmes et hommes,Sciences  economiques,30
2015,18 mois après le diplôme,femmes,Sciences  economiques,34
2018,30 mois après le diplôme,hommes,Sciences  economiques,26
2015,30 mois après le diplôme,femmes,Sciences  economiques,34
