Ann ee,situation,Genre,Secteur disciplinaire,% emplois ext erieurs à la r egion de l’universit e
2018,18 mois après le diplôme,femmes et hommes,Ensemble Masters LMD (hors Masters enseignement),43
2014,30 mois après le diplôme,femmes et hommes,Ensemble Masters LMD (hors Masters enseignement),43
2014,18 mois après le diplôme,hommes,Ensemble Masters LMD (hors Masters enseignement),44
2015,18 mois après le diplôme,femmes,Ensemble Masters LMD (hors Masters enseignement),43
2015,18 mois après le diplôme,hommes,Ensemble Masters LMD (hors Masters enseignement),44
2017,30 mois après le diplôme,hommes,Ensemble Masters LMD (hors Masters enseignement),43
2012,30 mois après le diplôme,hommes,Ensemble Masters LMD (hors Masters enseignement),47
2018,30 mois après le diplôme,hommes,Ensemble Masters LMD (hors Masters enseignement),43
2015,30 mois après le diplôme,femmes,Ensemble Masters LMD (hors Masters enseignement),43
2017,30 mois après le diplôme,femmes et hommes,Ensemble Masters LMD (hors Masters enseignement),43
2017,18 mois après le diplôme,femmes,Ensemble Masters LMD (hors Masters enseignement),43
2014,18 mois après le diplôme,femmes et hommes,Ensemble formations juridiques   economiques et de gestion,41
2014,18 mois après le diplôme,femmes,Ensemble formations juridiques   economiques et de gestion,38
2018,30 mois après le diplôme,femmes,Ensemble formations juridiques   economiques et de gestion,40
2017,30 mois après le diplôme,femmes,Ensemble formations juridiques   economiques et de gestion,42
2015,30 mois après le diplôme,femmes et hommes,Ensemble formations juridiques   economiques et de gestion,43
2014,30 mois après le diplôme,femmes,Sciences juridiques,38
2014,30 mois après le diplôme,femmes et hommes,Sciences juridiques,39
2014,30 mois après le diplôme,hommes,Sciences juridiques,40
2018,18 mois après le diplôme,femmes et hommes,Sciences juridiques,41
2016,18 mois après le diplôme,femmes et hommes,Sciences juridiques,42
2012,18 mois après le diplôme,femmes et hommes,Sciences juridiques,42
2012,18 mois après le diplôme,hommes,Sciences juridiques,47
2012,30 mois après le diplôme,femmes,Sciences juridiques,40
2015,30 mois après le diplôme,hommes,Sciences juridiques,48
2013,18 mois après le diplôme,femmes et hommes,Sciences juridiques,39
2014,30 mois après le diplôme,femmes et hommes,Sciences politiques,40
2018,18 mois après le diplôme,femmes et hommes,Sciences politiques,47
2014,18 mois après le diplôme,femmes,Sciences politiques,36
2014,18 mois après le diplôme,hommes,Sciences politiques,45
2015,18 mois après le diplôme,hommes,Sciences politiques,39
2012,30 mois après le diplôme,hommes,Sciences politiques,36
2017,30 mois après le diplôme,femmes,Sciences politiques,44
2012,18 mois après le diplôme,femmes et hommes,Sciences politiques,38
2011,30 mois après le diplôme,femmes et hommes,Sciences politiques,39
2017,18 mois après le diplôme,femmes,Sciences politiques,44
2014,18 mois après le diplôme,femmes,Sciences  economiques,38
2014,30 mois après le diplôme,hommes,Sciences  economiques,42
2014,18 mois après le diplôme,femmes et hommes,Sciences  economiques,42
2016,18 mois après le diplôme,femmes et hommes,Sciences  economiques,42
2015,18 mois après le diplôme,femmes,Sciences  economiques,40
2018,30 mois après le diplôme,hommes,Sciences  economiques,50
2015,30 mois après le diplôme,femmes,Sciences  economiques,40
2018,18 mois après le diplôme,femmes et hommes,Sciences de gestion,42
2014,30 mois après le diplôme,femmes,Sciences de gestion,40
2016,30 mois après le diplôme,femmes et hommes,Sciences de gestion,43
2018,30 mois après le diplôme,femmes et hommes,Sciences de gestion,42
2012,18 mois après le diplôme,femmes et hommes,Sciences de gestion,44
2018,18 mois après le diplôme,femmes et hommes,Autres formations juridiques   economiques et de gestion,48
2014,30 mois après le diplôme,femmes et hommes,Autres formations juridiques   economiques et de gestion,37
2018,30 mois après le diplôme,hommes,Autres formations juridiques   economiques et de gestion,54
2015,30 mois après le diplôme,femmes et hommes,Autres formations juridiques   economiques et de gestion,40
2018,18 mois après le diplôme,femmes et hommes,Administration  economique et sociale,45
2014,18 mois après le diplôme,femmes,Administration  economique et sociale,39
2014,30 mois après le diplôme,femmes et hommes,Administration  economique et sociale,40
2016,18 mois après le diplôme,hommes,Administration  economique et sociale,42
2015,18 mois après le diplôme,femmes,Administration  economique et sociale,31
2016,30 mois après le diplôme,femmes,Administration  economique et sociale,40
2011,30 mois après le diplôme,femmes et hommes,Administration  economique et sociale,43
2015,30 mois après le diplôme,femmes et hommes,Administration  economique et sociale,35
2013,18 mois après le diplôme,femmes,Administration  economique et sociale,32
2014,18 mois après le diplôme,femmes,Pluridisciplinaire droit  sciences politiques,50
2016,18 mois après le diplôme,femmes et hommes,Pluridisciplinaire droit  sciences politiques,58
2017,30 mois après le diplôme,femmes,Pluridisciplinaire droit  sciences politiques,60
2015,30 mois après le diplôme,femmes,Pluridisciplinaire droit  sciences politiques,57
2017,18 mois après le diplôme,femmes et hommes,Pluridisciplinaire droit  sciences politiques,47
2013,18 mois après le diplôme,femmes et hommes,Pluridisciplinaire droit  sciences politiques,58
2017,30 mois après le diplôme,hommes,Pluridisciplinaire droit  sciences  economiques et de gestion  AES,16
2014,18 mois après le diplôme,femmes et hommes,Pluridisciplinaire sciences  economiques et gestion,30
2014,18 mois après le diplôme,femmes,Pluridisciplinaire sciences  economiques et gestion,23
2018,18 mois après le diplôme,femmes,Pluridisciplinaire sciences  economiques et gestion,41
2014,18 mois après le diplôme,hommes,Pluridisciplinaire sciences  economiques et gestion,36
2015,18 mois après le diplôme,femmes,Pluridisciplinaire sciences  economiques et gestion,34
2011,30 mois après le diplôme,femmes et hommes,Pluridisciplinaire sciences  economiques et gestion,38
2018,30 mois après le diplôme,hommes,Pluridisciplinaire sciences  economiques et gestion,61
2012,30 mois après le diplôme,hommes,Pluridisciplinaire sciences  economiques et gestion,31
2017,18 mois après le diplôme,femmes et hommes,Pluridisciplinaire sciences  economiques et gestion,44
2012,18 mois après le diplôme,femmes,Pluridisciplinaire sciences  economiques et gestion,44
2013,30 mois après le diplôme,hommes,Pluridisciplinaire sciences  economiques et gestion,23
2014,30 mois après le diplôme,femmes et hommes,Ensemble Lettres  langues  arts,45
2015,18 mois après le diplôme,femmes,Ensemble Lettres  langues  arts,48
2015,30 mois après le diplôme,femmes,Ensemble Lettres  langues  arts,48
2012,18 mois après le diplôme,femmes et hommes,Ensemble Lettres  langues  arts,46
2016,30 mois après le diplôme,femmes,Ensemble Lettres  langues  arts,48
2011,30 mois après le diplôme,femmes et hommes,Ensemble Lettres  langues  arts,46
2013,30 mois après le diplôme,femmes,Ensemble Lettres  langues  arts,43
2013,18 mois après le diplôme,hommes,Ensemble Lettres  langues  arts,43
2018,30 mois après le diplôme,femmes,Arts,35
2018,18 mois après le diplôme,hommes,Arts,39
2018,18 mois après le diplôme,femmes et hommes,Arts,36
2018,18 mois après le diplôme,femmes,Arts,35
2012,18 mois après le diplôme,hommes,Arts,27
2017,30 mois après le diplôme,hommes,Arts,43
2015,30 mois après le diplôme,femmes,Arts,37
2017,18 mois après le diplôme,hommes,Arts,43
2014,30 mois après le diplôme,femmes,Français  langue  etrangère,64
2014,30 mois après le diplôme,femmes et hommes,Français  langue  etrangère,63
2016,18 mois après le diplôme,femmes et hommes,Français  langue  etrangère,52
2016,30 mois après le diplôme,femmes et hommes,Français  langue  etrangère,52
2013,30 mois après le diplôme,femmes,Français  langue  etrangère,56
2014,30 mois après le diplôme,femmes,Langues et litt eratures  etrangères,42
2016,18 mois après le diplôme,hommes,Langues et litt eratures  etrangères,46
2015,30 mois après le diplôme,femmes et hommes,Langues et litt eratures  etrangères,49
2015,18 mois après le diplôme,femmes et hommes,Langues et litt eratures  etrangères,49
2017,30 mois après le diplôme,femmes,Langues et litt eratures  etrangères,39
2012,30 mois après le diplôme,femmes et hommes,Langues et litt eratures  etrangères,41
